日期,收盘价,开盘价,最高价,最低价,成交量,涨跌幅,振幅,持仓量,中国:有色金属指数,上证A股指数,美国:标准普尔500指数,美国:道琼斯工业平均指数,美国:纳斯达克综合指数,标普中国A股质量价值指数,道琼斯全球指数,恒生指数,欧洲证券交易所100指数,标普高盛铝全收益指数,收盘价:沪铝指数
Date,close,open,high,low,volume,pct_chg,swing,oi,chn_nonferrous,sha_ind,sp500_ind,djind_ind,nasd_ind,spcha_ind,djglo+ind,hs_ind,eu100_ind,spal_ind,shfeal_ind
2001-02-13,1592.0000,1587.0000,1593.0000,1582.0000,68.0000,#N/A,#N/A,277726.0000,#N/A,2077.96 ,1318.80 ,10903.32 ,2427.72 ,#N/A,208.22 ,15842.72 ,975.52 ,#N/A,14842.82 
2001-02-14,1583.0000,1585.0000,1585.0000,1573.0000,84.0000,-0.5653,0.7538,277726.0000,#N/A,2077.32 ,1315.92 ,10795.41 ,2491.40 ,#N/A,207.35 ,15860.42 ,962.97 ,#N/A,14844.69 
2001-02-15,1593.0000,1589.0000,1599.0000,1586.0000,49.0000,0.6317,0.8212,277726.0000,#N/A,2059.50 ,1326.61 ,10891.02 ,2552.91 ,#N/A,208.63 ,15756.37 ,971.61 ,#N/A,14803.73 
2001-02-16,1608.0000,1603.0000,1608.0000,1592.0000,53.0000,0.9416,1.0044,277726.0000,#N/A,2054.43 ,1301.53 ,10799.82 ,2425.38 ,#N/A,205.29 ,15630.31 ,957.01 ,#N/A,14892.78 
2001-02-17,1608.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,277726.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001-02-18,1608.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,277726.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001-02-19,1588.0000,1593.0000,1594.0000,1587.0000,46.0000,-1.2438,0.4353,277726.0000,#N/A,2080.96 ,#N/A,#N/A,#N/A,#N/A,205.30 ,15490.96 ,953.45 ,#N/A,14907.54 
2001-02-20,1587.0000,1587.0000,1593.0000,1585.0000,48.0000,-0.0630,0.5038,277726.0000,#N/A,2065.62 ,1278.94 ,10730.88 ,2318.35 ,#N/A,202.34 ,15527.36 ,949.62 ,#N/A,14838.24 
2001-02-21,1565.0000,1573.0000,1576.0000,1561.0000,67.0000,-1.3863,0.9452,277726.0000,#N/A,2018.65 ,1255.27 ,10526.58 ,2268.94 ,#N/A,199.19 ,15351.51 ,937.37 ,#N/A,14817.65 
2001-02-22,1543.0000,1552.0000,1553.0000,1542.0000,107.0000,-1.4058,0.7029,277726.0000,#N/A,2016.43 ,1252.82 ,10526.81 ,2244.96 ,#N/A,198.19 ,15098.64 ,929.95 ,#N/A,14755.30 
2001-02-23,1535.0000,1544.0000,1545.0000,1527.0000,96.0000,-0.5185,1.1666,277726.0000,#N/A,2047.56 ,1245.86 ,10441.90 ,2262.51 ,#N/A,198.00 ,15280.56 ,912.13 ,#N/A,14772.70 
2001-02-24,1535.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,277726.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001-02-25,1535.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,277726.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001-02-26,1560.0000,1545.0000,1563.0000,1540.0000,89.0000,1.6287,1.4984,277726.0000,#N/A,2065.75 ,1267.65 ,10642.53 ,2308.50 ,#N/A,200.18 ,15230.22 ,926.41 ,#N/A,14784.98 
2001-02-27,1561.0000,1562.0000,1563.0000,1553.0000,37.0000,0.0641,0.6410,277726.0000,#N/A,2075.06 ,1257.94 ,10636.88 ,2207.82 ,#N/A,199.30 ,14834.73 ,930.62 ,#N/A,14849.86 
2001-02-28,1568.0000,1549.0000,1570.0000,1548.0000,45.0000,0.4484,1.4094,277726.0000,#N/A,2069.56 ,1239.94 ,10495.28 ,2151.83 ,#N/A,197.33 ,14787.87 ,922.36 ,#N/A,14768.11 
2001-03-01,1563.0000,1566.0000,1569.0000,1563.0000,190.0000,-0.3189,0.3827,277726.0000,#N/A,2073.24 ,1241.23 ,10450.14 ,2183.37 ,#N/A,197.00 ,14360.56 ,914.56 ,#N/A,14819.76 
2001-03-02,1575.0000,1559.0000,1575.0000,1559.0000,50.0000,0.7678,1.0237,277726.0000,#N/A,2091.70 ,1234.18 ,10466.31 ,2117.63 ,#N/A,195.94 ,13966.43 ,909.85 ,#N/A,14910.96 
2001-03-03,1575.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,277726.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001-03-04,1575.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,277726.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001-03-05,1574.0000,1571.0000,1575.0000,1568.0000,80.0000,-0.0635,0.4444,277726.0000,#N/A,2087.50 ,1241.41 ,10562.30 ,2142.92 ,#N/A,196.82 ,14135.26 ,919.64 ,#N/A,15023.43 
2001-03-06,1588.0000,1583.0000,1589.0000,1583.0000,160.0000,0.8895,0.3812,277726.0000,#N/A,2091.95 ,1253.80 ,10591.22 ,2204.43 ,#N/A,199.45 ,14321.05 ,933.02 ,#N/A,15118.02 
2001-03-07,1562.0000,1587.0000,1590.0000,1562.0000,320.0000,-1.6373,1.7632,277726.0000,#N/A,2095.64 ,1261.89 ,10729.60 ,2223.92 ,#N/A,199.93 ,14177.36 ,935.38 ,#N/A,15085.44 
2001-03-08,1560.0000,1561.0000,1561.0000,1560.0000,20.0000,-0.1280,0.0640,277726.0000,#N/A,2105.96 ,1264.74 ,10858.25 ,2168.73 ,#N/A,199.87 ,14208.95 ,928.18 ,#N/A,15000.45 
2001-03-09,1552.0000,1544.0000,1552.0000,1541.0000,200.0000,-0.5128,0.7051,277726.0000,#N/A,2114.91 ,1233.42 ,10644.62 ,2052.78 ,#N/A,196.43 ,14194.35 ,921.33 ,#N/A,14874.05 
2001-03-10,1552.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,277726.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2001-03-11,1552.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,277726.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
