日期,收盘价,开盘价,最高价,最低价,成交量,涨跌幅,振幅,持仓量,Wind有色指数,上证A股指数,美国:纳斯达克综合指数,美国:标准普尔500指数,标普中国A股质量价值指数,美国:道琼斯工业平均指数,道琼斯全球指数,恒生指数,欧洲证券交易所100指数,标普高盛铝全收益指数,收盘价:沪铝指数
Date,close,open,high,low,volume,pct_chg,swing,oi,wind_nonferrous,sha_ind,nasd_ind,sp500_ind,sp_cna_ind,dj_ind_ind,dj_glo_ind,hs_ind,eu100_ind,sp_al_ind,sh_al_ind
2020-01-02,1800.5000,1805.5000,1817.0000,1786.0000,16929.0000,-0.5249,1.7194,6386.0000,1310.77 ,3232.69 ,9092.19 ,3257.85 ,5867.16 ,28868.80 ,437.30 ,28543.52 ,1158.26 ,50.48 ,14129.24 
2020-01-03,1819.0000,1803.0000,1829.5000,1788.5000,16410.0000,0.8035,2.2771,4466.0000,1294.16 ,3231.19 ,9020.77 ,3234.85 ,5872.06 ,28634.88 ,435.10 ,28451.50 ,1157.38 ,50.99 ,14101.71 
2020-01-04,1819.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4466.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-01-05,1819.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4466.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,435.03 ,#N/A,#N/A,#N/A,#N/A
2020-01-06,1832.0000,1818.0000,1835.0000,1809.5000,15558.0000,0.4386,1.4019,5678.0000,1297.48 ,3230.80 ,9071.47 ,3246.28 ,5852.79 ,28703.38 ,434.54 ,28226.19 ,1151.81 ,51.20 ,14121.08 
2020-01-07,1818.0000,1832.0000,1833.5000,1813.0000,11937.0000,-0.8183,1.1190,3529.0000,1303.99 ,3253.19 ,9068.58 ,3237.18 ,5949.80 ,28583.68 ,434.51 ,28322.06 ,1153.09 ,50.74 ,14079.00 
2020-01-08,1800.5000,1815.0000,1823.0000,1791.5000,16326.0000,-0.8535,1.7327,6512.0000,1304.40 ,3213.43 ,9129.24 ,3253.05 ,5859.54 ,28745.09 ,434.72 ,28087.92 ,1155.38 ,50.25 ,14142.92 
2020-01-09,1804.0000,1798.0000,1817.0000,1794.0000,12775.0000,0.2222,1.2774,4023.0000,1312.46 ,3242.78 ,9203.43 ,3274.70 ,5923.65 ,28956.90 ,437.64 ,28561.00 ,1158.67 ,50.35 ,14080.15 
2020-01-10,1812.0000,1804.0000,1813.0000,1796.0000,10290.0000,0.4713,0.9424,5180.0000,1314.76 ,3240.07 ,9178.86 ,3265.35 ,5938.15 ,28823.77 ,437.53 ,28638.20 ,1157.33 ,50.41 ,14159.17 
2020-01-11,1812.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5180.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-01-12,1812.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5180.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,437.53 ,#N/A,#N/A,#N/A,#N/A
2020-01-13,1798.0000,1811.5000,1811.5000,1788.5000,12720.0000,-0.4430,1.2693,4527.0000,1317.24 ,3264.58 ,9273.93 ,3288.13 ,5975.08 ,28907.05 ,439.71 ,28954.94 ,1155.86 ,50.15 ,14042.34 
2020-01-14,1808.0000,1797.0000,1810.5000,1792.0000,9894.0000,0.5562,1.0289,5215.0000,1305.61 ,3255.41 ,9251.33 ,3283.15 ,5957.13 ,28939.67 ,439.84 ,28885.14 ,1157.63 ,50.46 ,13998.75 
