日期,收盘价,开盘价,最高价,最低价,成交量,涨跌幅,振幅,持仓量,中国:有色金属指数,上证A股指数,美国:标准普尔500指数,美国:道琼斯工业平均指数,美国:纳斯达克综合指数,标普中国A股质量价值指数,道琼斯全球指数,恒生指数,欧洲证券交易所100指数,标普高盛铝全收益指数,收盘价:沪铝指数
Date,close,open,high,low,volume,pct_chg,swing,oi,chn_nonferrous,sha_ind,sp500_ind,djind_ind,nasd_ind,spcha_ind,djglo+ind,hs_ind,eu100_ind,spal_ind,shfeal_ind
2000-01-01,#NAME?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5486.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-01-02,16310.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5486.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-01-03,16310.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5486.0000,#N/A,#N/A,1455.22 ,11357.51 ,4131.15 ,#N/A,245.45 ,17369.63 ,#N/A,#N/A,#N/A
2000-01-04,16550.0000,16560.0000,16580.0000,16530.0000,264.0000,1.5337,0.3066,5668.0000,#N/A,1494.50 ,1399.42 ,10997.94 ,3901.69 ,#N/A,238.14 ,17072.82 ,#N/A,#N/A,16491.50 
2000-01-05,16450.0000,16450.0000,16500.0000,16450.0000,1484.0000,-0.6042,0.3021,5720.0000,#N/A,1498.05 ,1402.11 ,11122.66 ,3877.54 ,#N/A,234.46 ,15846.72 ,#N/A,#N/A,16413.37 
2000-01-06,16500.0000,16470.0000,16520.0000,16470.0000,256.0000,0.2430,0.3040,5760.0000,#N/A,1555.95 ,1403.45 ,11253.27 ,3727.13 ,#N/A,232.37 ,15153.23 ,#N/A,#N/A,16454.88 
2000-01-07,16520.0000,16480.0000,16540.0000,16470.0000,322.0000,0.1819,0.4242,5802.0000,#N/A,1611.81 ,1441.47 ,11522.56 ,3882.62 ,#N/A,237.04 ,15405.63 ,#N/A,#N/A,16487.47 
2000-01-08,16520.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5802.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-01-09,16520.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5802.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-01-10,16520.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5802.0000,#N/A,1642.53 ,1457.60 ,11572.20 ,4049.67 ,#N/A,240.16 ,15848.15 ,#N/A,#N/A,16487.47 
2000-01-11,16440.0000,16420.0000,16470.0000,16420.0000,648.0000,-0.3636,0.3027,5840.0000,#N/A,1572.84 ,1438.56 ,11511.09 ,3921.19 ,#N/A,239.63 ,15862.10 ,#N/A,#N/A,16423.08 
2000-01-12,16440.0000,16440.0000,16440.0000,16410.0000,430.0000,0.0000,0.1825,5698.0000,#N/A,1528.36 ,1432.25 ,11551.11 ,3850.02 ,#N/A,238.30 ,15714.20 ,#N/A,#N/A,16411.28 
2000-01-13,16410.0000,16510.0000,16510.0000,16410.0000,402.0000,-0.0609,0.6083,5504.0000,#N/A,1513.88 ,1449.68 ,11582.44 ,3957.21 ,#N/A,240.25 ,15633.96 ,#N/A,#N/A,16380.95 
2000-01-14,16410.0000,16380.0000,16440.0000,16380.0000,1416.0000,-0.0609,0.3656,5230.0000,#N/A,1497.27 ,1465.15 ,11722.98 ,4064.27 ,#N/A,242.18 ,15542.23 ,#N/A,#N/A,16373.22 
2000-01-15,16410.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5230.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-01-16,16410.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5230.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-01-17,16430.0000,16390.0000,16490.0000,16390.0000,612.0000,0.2441,0.6094,5154.0000,#N/A,1523.52 ,#N/A,#N/A,#N/A,#N/A,243.81 ,15574.56 ,#N/A,#N/A,16413.54 
2000-01-18,16540.0000,16470.0000,16590.0000,16470.0000,1272.0000,0.6695,0.7304,5034.0000,#N/A,1516.34 ,1455.14 ,11560.73 ,4130.81 ,#N/A,241.48 ,15789.20 ,#N/A,#N/A,16585.78 
2000-01-19,16860.0000,16870.0000,16930.0000,16850.0000,1862.0000,1.9964,0.4837,5530.0000,#N/A,1531.22 ,1455.90 ,11489.37 ,4151.29 ,#N/A,240.53 ,15275.34 ,#N/A,#N/A,16708.97 
2000-01-20,16850.0000,16900.0000,16920.0000,16800.0000,720.0000,-0.1777,0.7117,5876.0000,#N/A,1559.17 ,1445.57 ,11351.30 ,4189.51 ,#N/A,240.30 ,15215.31 ,#N/A,#N/A,16704.82 
2000-01-21,16850.0000,16780.0000,16870.0000,16780.0000,736.0000,0.0594,0.5341,5894.0000,#N/A,1557.32 ,1441.36 ,11251.72 ,4235.40 ,#N/A,239.37 ,15108.41 ,#N/A,#N/A,16704.53 
2000-01-22,16850.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5894.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-01-23,16850.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5894.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-01-24,16850.0000,16810.0000,16870.0000,16810.0000,654.0000,0.1784,0.3561,5864.0000,#N/A,1570.64 ,1401.53 ,11008.17 ,4096.08 ,#N/A,236.33 ,15167.55 ,#N/A,#N/A,16714.64 
2000-01-25,16790.0000,16770.0000,16810.0000,16750.0000,732.0000,-0.2969,0.3561,5790.0000,#N/A,1569.72 ,1410.03 ,11029.89 ,4167.41 ,#N/A,234.97 ,15103.04 ,#N/A,#N/A,16685.22 
2000-01-26,16860.0000,16900.0000,16900.0000,16820.0000,274.0000,0.5367,0.4765,5830.0000,#N/A,1574.50 ,1404.09 ,11032.99 ,4069.91 ,#N/A,236.00 ,15427.72 ,#N/A,#N/A,16749.85 
2000-01-27,16970.0000,16800.0000,17000.0000,16800.0000,1240.0000,0.7720,1.1862,5752.0000,#N/A,1601.58 ,1398.56 ,11028.03 ,4039.56 ,#N/A,236.45 ,15917.81 ,#N/A,#N/A,16863.37 
2000-01-28,17000.0000,17000.0000,17050.0000,16920.0000,626.0000,0.5322,0.7661,5730.0000,#N/A,1631.52 ,1360.16 ,10738.88 ,3887.07 ,#N/A,231.71 ,16185.94 ,#N/A,#N/A,16903.99 
2000-01-29,17000.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5730.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-01-30,17000.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5730.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-01-31,16940.0000,17010.0000,17010.0000,16880.0000,564.0000,-0.3529,0.7647,5756.0000,#N/A,#N/A,1394.46 ,10940.54 ,3940.35 ,#N/A,232.21 ,15532.34 ,#N/A,#N/A,#N/A
2000-02-01,17080.0000,17090.0000,17090.0000,17000.0000,376.0000,0.8264,0.5313,5732.0000,#N/A,#N/A,1409.28 ,11041.06 ,4051.98 ,#N/A,234.47 ,15653.86 ,#N/A,#N/A,#N/A
2000-02-02,17200.0000,17180.0000,17210.0000,17150.0000,1056.0000,0.9390,0.3513,5706.0000,#N/A,#N/A,1409.12 ,11003.21 ,4073.96 ,#N/A,236.45 ,15789.82 ,#N/A,#N/A,#N/A
2000-02-03,17200.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5706.0000,#N/A,#N/A,1424.97 ,11013.45 ,4210.98 ,#N/A,240.52 ,15968.12 ,#N/A,#N/A,#N/A
2000-02-04,17200.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5706.0000,#N/A,#N/A,1424.37 ,10963.81 ,4244.14 ,#N/A,241.15 ,#N/A,#N/A,#N/A,#N/A
2000-02-05,17200.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5706.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-02-06,17200.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5706.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-02-07,17200.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5706.0000,#N/A,#N/A,1424.24 ,10905.79 ,4321.77 ,#N/A,240.33 ,#N/A,#N/A,#N/A,#N/A
2000-02-08,17200.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5706.0000,#N/A,#N/A,1441.72 ,10957.61 ,4427.54 ,#N/A,243.29 ,16228.73 ,#N/A,#N/A,#N/A
2000-02-09,17200.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5706.0000,#N/A,#N/A,1411.70 ,10699.17 ,4363.24 ,#N/A,242.16 ,16819.46 ,#N/A,#N/A,#N/A
2000-02-10,17200.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5706.0000,#N/A,#N/A,1416.83 ,10643.64 ,4485.63 ,#N/A,241.75 ,16845.17 ,#N/A,#N/A,#N/A
2000-02-11,17200.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5706.0000,#N/A,#N/A,1387.12 ,10425.22 ,4395.45 ,#N/A,239.61 ,17380.30 ,#N/A,#N/A,#N/A
2000-02-12,17200.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5706.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-02-13,17200.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5706.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-02-14,17100.0000,17100.0000,17170.0000,17100.0000,266.0000,-0.4077,0.4070,5840.0000,#N/A,1779.71 ,1389.94 ,10519.85 ,4418.55 ,#N/A,238.38 ,17188.96 ,#N/A,#N/A,17050.47 
2000-02-15,16980.0000,17080.0000,17100.0000,16980.0000,530.0000,-0.8178,0.7018,5952.0000,#N/A,1776.76 ,1402.05 ,10718.10 ,4420.77 ,#N/A,237.52 ,16688.16 ,#N/A,#N/A,16977.92 
2000-02-16,16690.0000,16730.0000,16850.0000,16680.0000,996.0000,-1.9965,1.0012,5476.0000,#N/A,1801.05 ,1387.67 ,10561.42 ,4427.65 ,#N/A,237.96 ,17043.39 ,#N/A,#N/A,16822.95 
2000-02-17,16670.0000,16680.0000,16780.0000,16670.0000,756.0000,-0.3586,0.6591,5194.0000,#N/A,1745.37 ,1388.26 ,10514.57 ,4548.92 ,#N/A,239.30 ,16981.23 ,#N/A,#N/A,16806.69 
2000-02-18,16760.0000,16700.0000,16770.0000,16700.0000,186.0000,0.4796,0.4199,5214.0000,#N/A,1774.52 ,1346.09 ,10219.53 ,4411.74 ,#N/A,235.34 ,16599.16 ,#N/A,#N/A,16936.33 
2000-02-19,16760.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5214.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-02-20,16760.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5214.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-02-21,16870.0000,16760.0000,16900.0000,16760.0000,1398.0000,0.7766,0.8353,5150.0000,#N/A,1784.46 ,#N/A,#N/A,#N/A,#N/A,233.58 ,16322.37 ,#N/A,#N/A,17032.69 
2000-02-22,16800.0000,16800.0000,16860.0000,16800.0000,144.0000,-0.3559,0.3557,5150.0000,#N/A,1736.80 ,1352.17 ,10304.85 ,4382.12 ,#N/A,233.89 ,16255.17 ,#N/A,#N/A,16939.57 
2000-02-23,16860.0000,16880.0000,16880.0000,16850.0000,244.0000,0.1783,0.1786,5072.0000,#N/A,1696.93 ,1360.69 ,10225.73 ,4550.33 ,#N/A,236.64 ,16376.79 ,#N/A,#N/A,17022.09 
2000-02-24,17110.0000,17190.0000,17190.0000,17110.0000,466.0000,1.5430,0.4745,5286.0000,#N/A,1739.00 ,1353.43 ,10092.64 ,4617.65 ,#N/A,236.48 ,17058.66 ,#N/A,#N/A,17075.48 
2000-02-25,17090.0000,17120.0000,17120.0000,17050.0000,210.0000,-0.2335,0.4091,5434.0000,#N/A,1736.25 ,1333.36 ,9862.12 ,4590.50 ,#N/A,236.69 ,17200.98 ,#N/A,#N/A,17072.99 
2000-02-26,17090.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5434.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-02-27,17090.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5434.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-02-28,17030.0000,17040.0000,17050.0000,16960.0000,258.0000,-0.2343,0.5266,5462.0000,#N/A,1814.78 ,1348.05 ,10038.66 ,4577.85 ,#N/A,236.84 ,16984.44 ,#N/A,#N/A,17034.31 
2000-02-29,16880.0000,16680.0000,16880.0000,16680.0000,684.0000,-0.8226,1.1744,5114.0000,#N/A,1825.07 ,1366.42 ,10128.31 ,4696.69 ,#N/A,238.79 ,17169.44 ,#N/A,#N/A,16916.44 
2000-03-01,16870.0000,17000.0000,17000.0000,16850.0000,460.0000,0.1781,0.8886,4938.0000,#N/A,1807.05 ,1379.19 ,10137.93 ,4784.08 ,#N/A,242.55 ,16843.59 ,#N/A,#N/A,16880.94 
2000-03-02,16900.0000,16890.0000,16930.0000,16890.0000,74.0000,0.1185,0.2371,4974.0000,#N/A,1823.53 ,1381.76 ,10164.92 ,4754.51 ,#N/A,243.61 ,16936.81 ,#N/A,#N/A,16911.41 
2000-03-03,16880.0000,16900.0000,16900.0000,16870.0000,194.0000,-0.1183,0.1775,4892.0000,#N/A,1850.53 ,1409.17 ,10367.20 ,4914.79 ,#N/A,246.09 ,17285.24 ,#N/A,#N/A,16901.87 
2000-03-04,16880.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4892.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-03-05,16880.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4892.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-03-06,16870.0000,16900.0000,16900.0000,16870.0000,50.0000,-0.0592,0.1777,4866.0000,#N/A,1789.81 ,1391.28 ,10170.51 ,4904.85 ,#N/A,245.31 ,17758.76 ,#N/A,#N/A,16895.36 
2000-03-07,16860.0000,16860.0000,16870.0000,16850.0000,226.0000,-0.0593,0.1186,4888.0000,#N/A,1804.48 ,1355.62 ,9796.04 ,4847.84 ,#N/A,242.00 ,17865.36 ,#N/A,#N/A,16883.97 
2000-03-08,16650.0000,16740.0000,16800.0000,16650.0000,674.0000,-1.2456,0.8897,4584.0000,#N/A,1837.82 ,1366.70 ,9856.54 ,4897.17 ,#N/A,241.88 ,17951.43 ,#N/A,#N/A,16682.67 
2000-03-09,16570.0000,16600.0000,16640.0000,16570.0000,356.0000,-0.7190,0.4204,4436.0000,#N/A,1844.61 ,1401.69 ,10010.73 ,5046.86 ,#N/A,245.85 ,17637.03 ,#N/A,#N/A,16597.31 
2000-03-10,16690.0000,16460.0000,17000.0000,16460.0000,232.0000,0.5422,3.2589,4296.0000,#N/A,1815.35 ,1395.07 ,9928.83 ,5048.62 ,#N/A,245.65 ,17831.86 ,#N/A,#N/A,16704.97 
2000-03-11,16690.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4296.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-03-12,16690.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4296.0000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000-03-13,16800.0000,16800.0000,16860.0000,16790.0000,656.0000,0.7194,0.4194,4588.0000,#N/A,1840.81 ,1383.62 ,9947.13 ,4907.24 ,#N/A,240.90 ,17096.68 ,#N/A,#N/A,16664.31 
