Date,close,open,high,low,volume,pct_chg,swing,oi,chn_nonferrous,sha_ind,sp500_ind,djind_ind,nasd_ind,spcha_ind,djglo+ind,hs_ind,eu100_ind,spal_ind,shfeal_ind
2018-01-02,2265.0,2276.0,2290.0,2252.5,13834.0,0.0221,1.656,4595.0,3222.66,3506.62,2695.81,24824.01,7006.9,5897.57,400.13,30515.31,1030.6,64.09,15140.55
2018-01-03,2229.5,2258.0,2267.0,2226.0,13231.0,-1.5673,1.8102,8446.0,3208.06,3528.43,2713.06,24922.68,7065.53,5958.06,401.86,30560.95,1038.31,63.0,15125.76
2018-01-04,2245.5,2228.0,2256.0,2212.0,13554.0,0.7176,1.9735,5444.0,3225.48,3545.8,2723.99,25075.13,7077.92,6048.76,404.96,30736.48,1051.58,63.61,15108.58
2018-01-05,2205.5,2245.0,2252.5,2201.0,14785.0,-1.7813,2.2935,5688.0,3216.95,3552.17,2743.15,25295.87,7136.56,6040.26,407.52,30814.64,1061.69,62.26,15176.75
2018-01-08,2174.0,2204.0,2214.5,2171.0,14254.0,-1.4282,1.9723,3407.0,3201.05,3570.75,2747.71,25283.0,7157.39,6086.02,408.01,30899.53,1064.02,61.44,15010.29
2018-01-09,2155.5,2174.0,2184.0,2149.5,11707.0,-0.851,1.5869,6377.0,3221.89,3575.42,2751.29,25385.8,7163.58,6158.44,408.52,31011.41,1070.79,60.78,15048.86
2018-01-10,2186.0,2155.0,2190.0,2155.0,12117.0,1.415,1.6238,4376.0,3215.73,3583.8,2748.23,25369.13,7153.57,6154.34,408.35,31073.72,1066.64,61.63,15037.92
2018-01-11,2182.0,2183.0,2208.5,2170.0,12704.0,-0.183,1.7612,3835.0,3235.93,3587.51,2767.56,25574.73,7211.78,6121.92,410.0,31120.39,1062.71,61.47,15185.08
2018-01-12,2220.0,2180.5,2230.0,2180.5,16530.0,1.7415,2.2686,3765.0,3216.46,3591.27,2786.24,25803.19,7261.06,6175.59,412.59,31412.54,1066.79,62.57,15073.22
2018-01-16,2196.0,2226.5,2229.0,2170.0,17580.0,-1.3477,2.6505,5387.0,3179.55,3599.34,2776.42,25792.86,7223.69,6112.08,413.48,31904.75,1067.85,61.86,14761.5
2018-01-17,2195.0,2196.0,2199.0,2181.0,11923.0,-0.0455,0.8197,3632.0,3154.6,3607.81,2802.56,26115.65,7298.28,6033.63,415.43,31983.41,1066.48,61.99,14650.47
2018-01-18,2244.0,2190.5,2244.0,2185.0,14939.0,2.2323,2.6879,42338.0,3156.27,3639.37,2798.03,26017.81,7296.05,6067.96,414.98,32121.94,1067.79,63.4,14643.49
2018-01-19,2215.0,2241.0,2270.5,2214.5,16571.0,-1.2923,2.4955,3622.0,3167.67,3653.13,2810.3,26071.72,7336.38,6016.72,417.05,32254.89,1073.77,62.8,14791.56
2018-01-22,2247.5,2217.5,2250.5,2214.0,9242.0,1.4673,1.6479,2203.0,3183.23,3667.31,2832.97,26214.6,7408.03,6189.03,419.47,32393.41,1077.2,63.59,14694.74
2018-01-23,2228.0,2246.0,2248.0,2206.5,11576.0,-0.8676,1.8465,3490.0,3187.58,3714.8,2839.13,26210.81,7460.29,6205.45,421.59,32930.7,1076.3,63.03,14684.63
2018-01-24,2247.0,2228.0,2254.5,2208.5,14776.0,0.8528,2.0646,3259.0,3144.17,3728.35,2837.54,26252.12,7415.06,6167.6,422.3,32958.69,1067.59,63.6,14678.25
2018-01-25,2232.5,2248.0,2270.0,2232.0,9902.0,-0.6453,1.6911,2846.0,3219.09,3716.59,2839.25,26392.79,7411.16,6147.49,422.82,32654.45,1064.17,63.34,14826.1
2018-01-26,2260.0,2231.0,2264.0,2224.0,10249.0,1.2318,1.7917,2912.0,3199.08,3726.89,2872.87,26616.71,7505.77,6177.22,425.41,33154.12,1072.39,63.79,14670.78
2018-01-29,2228.0,2258.5,2270.0,2222.0,11290.0,-1.4159,2.1239,3276.0,3232.94,3690.02,2853.53,26439.48,7466.51,6071.57,422.79,32966.89,1069.9,62.86,14726.53
2018-01-30,2224.0,2228.0,2239.5,2195.0,16644.0,-0.1795,1.9973,4388.0,3191.54,3653.27,2822.43,26076.89,7402.48,6044.25,418.66,32607.29,1061.9,62.34,14532.74
